ab ; de, desde
acccender ; encender
ad ; a
adjutar ; ayudar
ager ; actual
alīcubi ; en alguna parte
āl(i)cun ; algún
āl(i)cuno ; alguien, alguno
āl(i)quando ; (alg)una vez
al(i)quanto ; algo, un poco
ālique ; algo
alora ; entonces
alsī ; también 
alte ; alto
in alto ; hacia arriba
āltere ; otro
amar ; querer<br>amar
ambiente ; ambiente
amico ; amigo
an ; ¿...
ancora ; todavía
anno ; año
anque ; también
ante ; andes de<br>delante de
āntea ; antes
aperir ; abrir
apparer ; aparecer
appellar ; llamar
appertiner ; pertenecer
apportar ; traer
apprender ; aprender
āpud ; cerca de
arder ; arder
arrivar ; llegar<br>arribar
ascoltar ; escuchar
assātis ; bastante
assecurar ; asegurar
assī ; así
attender ; esperar<br>aguardar
attiger ; llegar
attraher ; atraer
audir ; oír
augmentar ; aumentar
avante ; adelante<br>delante
basse ; bajo
ia basse ; hacia abajo
bastante ; bastante
batter ; batir
belle ; bello<br>hermoso
ben ; bien
ben que ; aunque
besonio ; necesidad
biber ; beber
billet ; billete
bon ; buen
brachio ; brazo
breve ; breve
cader ; caer
cālide ; caliente
cambiar ; cambiar
cāmera ; cuarto
campo ; campo
capace ; capaz
cāpite ; cabeza
car ; caro
casa ; casa
caso ; caso
cata ; cada (uno)
causa ; causa
a causa de ; por causa de
celar ; ocultar
cento ; ciento
cercar ; buscar
certe ; cierto
cessar ; cesar
cinque ; cinco
circa<br>circum ; alrededor de
citate ; ciudad
clauder ; cerrar
cognoscer ; conocer
comenciar ; empezar
como ; como
comprar ; comprar
comprender ; comprender<br>entender
con ; con
continer ; contener
convenir ; convenir
coperir ; cubrir
cōram ; delante de
corde ; corazón
cōrpore ; cuerpo
cosa ; cosa
costar ; costar
creder ; creer
crescer ; crecer
cuje ; cuyo
currer ; correr
curte ; corto
de ; de
deber ; tener que<br>deber
dece ; diez
deman ; mañana
demandar ; preguntar
depoir<br>depost ; después de
derecto ; derecho
desde ; desde
detra ; detrás de
devenir ; llegar a ser<br>convertirse en
dēxt(e)re ; derecho (lado)
dicer ; decir
dīe ; día
diffīcile ; difícil
disparer ; desaparecer
dolor ; dolor
dono ; don<br>dádiva
dormir ; dormir
dūbita ; duda
ducer ; llevar
dum ; mientras que
dunque ; por eso
duo ; dos
durante ; durante
durante que ; mientras que
